Nama,Deskripsi,Path Folder, Path Gambar,Deskripsi_casefolding,Deskripsi_clean,tokenized,stop_removed,lemmatized,preprocessing
Batik Bali,"Batik Bali memiliki motif rumit yang terinspirasi oleh bunga, daun, dan simbol budaya Hindu Bali. Melambangkan harmoni antara manusia, alam, dan spiritualitas, batik ini terkenal dengan warna cerahnya yang khas dari Pulau Bali.",batik-bali,batik-bali.jpg,"batik bali memiliki motif rumit yang terinspirasi oleh bunga, daun, dan simbol budaya hindu bali. melambangkan harmoni antara manusia, alam, dan spiritualitas, batik ini terkenal dengan warna cerahnya yang khas dari pulau bali.",batik bali memiliki motif rumit yang terinspirasi oleh bunga daun dan simbol budaya hindu bali melambangkan harmoni antara manusia alam dan spiritualitas batik ini terkenal dengan warna cerahnya yang khas dari pulau bali,"['batik', 'bali', 'memiliki', 'motif', 'rumit', 'yang', 'terinspirasi', 'oleh', 'bunga', 'daun', 'dan', 'simbol', 'budaya', 'hindu', 'bali', 'melambangkan', 'harmoni', 'antara', 'manusia', 'alam', 'dan', 'spiritualitas', 'batik', 'ini', 'terkenal', 'dengan', 'warna', 'cerahnya', 'yang', 'khas', 'dari', 'pulau', 'bali']","['batik', 'bali', 'memiliki', 'motif', 'rumit', 'terinspirasi', 'bunga', 'daun', 'simbol', 'budaya', 'hindu', 'bali', 'melambangkan', 'harmoni', 'manusia', 'alam', 'spiritualitas', 'batik', 'terkenal', 'warna', 'cerahnya', 'khas', 'pulau', 'bali']","['batik', 'bali', 'memiliki', 'motif', 'rumit', 'terinspirasi', 'bunga', 'daun', 'simbol', 'budaya', 'hindu', 'bali', 'melambangkan', 'harmoni', 'manusia', 'alam', 'spiritualitas', 'batik', 'terkenal', 'warna', 'cerahnya', 'khas', 'pulau', 'bali']",batik bali memiliki motif rumit terinspirasi bunga daun simbol budaya hindu bali melambangkan harmoni manusia alam spiritualitas batik terkenal warna cerahnya khas pulau bali
Batik Betawi,"Batik Betawi memiliki motif geometris sederhana dengan warna cerah, menampilkan pola khas seperti ondel-ondel dan tanjidor. Melambangkan semangat dan keberagaman budaya, batik ini berasal dari Jakarta.",batik-betawi,batik-betawi.jpg,"batik betawi memiliki motif geometris sederhana dengan warna cerah, menampilkan pola khas seperti ondel-ondel dan tanjidor. melambangkan semangat dan keberagaman budaya, batik ini berasal dari jakarta.",batik betawi memiliki motif geometris sederhana dengan warna cerah menampilkan pola khas seperti ondelondel dan tanjidor melambangkan semangat dan keberagaman budaya batik ini berasal dari jakarta,"['batik', 'betawi', 'memiliki', 'motif', 'geometris', 'sederhana', 'dengan', 'warna', 'cerah', 'menampilkan', 'pola', 'khas', 'seperti', 'ondelondel', 'dan', 'tanjidor', 'melambangkan', 'semangat', 'dan', 'keberagaman', 'budaya', 'batik', 'ini', 'berasal', 'dari', 'jakarta']","['batik', 'betawi', 'memiliki', 'motif', 'geometris', 'sederhana', 'warna', 'cerah', 'menampilkan', 'pola', 'khas', 'ondelondel', 'tanjidor', 'melambangkan', 'semangat', 'keberagaman', 'budaya', 'batik', 'berasal', 'jakarta']","['batik', 'betawi', 'memiliki', 'motif', 'geometris', 'sederhana', 'warna', 'cerah', 'menampilkan', 'pola', 'khas', 'ondelondel', 'tanjidor', 'melambangkan', 'semangat', 'keberagaman', 'budaya', 'batik', 'berasal', 'jakarta']",batik betawi memiliki motif geometris sederhana warna cerah menampilkan pola khas ondelondel tanjidor melambangkan semangat keberagaman budaya batik berasal jakarta
Batik Celup,"Batik Celup memiliki pola abstrak dengan gradasi warna cerah yang dihasilkan melalui teknik pencelupan. Melambangkan kebebasan dan kreativitas, batik ini mencerminkan ekspresi seni modern Indonesia.",batik-celup,batik-celup.jpg,"batik celup memiliki pola abstrak dengan gradasi warna cerah yang dihasilkan melalui teknik pencelupan. melambangkan kebebasan dan kreativitas, batik ini mencerminkan ekspresi seni modern indonesia.",batik celup memiliki pola abstrak dengan gradasi warna cerah yang dihasilkan melalui teknik pencelupan melambangkan kebebasan dan kreativitas batik ini mencerminkan ekspresi seni modern indonesia,"['batik', 'celup', 'memiliki', 'pola', 'abstrak', 'dengan', 'gradasi', 'warna', 'cerah', 'yang', 'dihasilkan', 'melalui', 'teknik', 'pencelupan', 'melambangkan', 'kebebasan', 'dan', 'kreativitas', 'batik', 'ini', 'mencerminkan', 'ekspresi', 'seni', 'modern', 'indonesia']","['batik', 'celup', 'memiliki', 'pola', 'abstrak', 'gradasi', 'warna', 'cerah', 'dihasilkan', 'teknik', 'pencelupan', 'melambangkan', 'kebebasan', 'kreativitas', 'batik', 'mencerminkan', 'ekspresi', 'seni', 'modern', 'indonesia']","['batik', 'celup', 'memiliki', 'pola', 'abstrak', 'gradasi', 'warna', 'cerah', 'dihasilkan', 'teknik', 'pencelupan', 'melambangkan', 'kebebasan', 'kreativitas', 'batik', 'mencerminkan', 'ekspresi', 'seni', 'modern', 'indonesia']",batik celup memiliki pola abstrak gradasi warna cerah dihasilkan teknik pencelupan melambangkan kebebasan kreativitas batik mencerminkan ekspresi seni modern indonesia
Batik Cendrawasih,"Batik Cendrawasih menampilkan motif burung cendrawasih yang elegan dengan kombinasi pola bunga dan warna cerah. Melambangkan keindahan dan kemewahan, batik ini mencerminkan kebanggaan budaya Papua.",batik-cendrawasih,batik-cendrawasih.jpg,"batik cendrawasih menampilkan motif burung cendrawasih yang elegan dengan kombinasi pola bunga dan warna cerah. melambangkan keindahan dan kemewahan, batik ini mencerminkan kebanggaan budaya papua.",batik cendrawasih menampilkan motif burung cendrawasih yang elegan dengan kombinasi pola bunga dan warna cerah melambangkan keindahan dan kemewahan batik ini mencerminkan kebanggaan budaya papua,"['batik', 'cendrawasih', 'menampilkan', 'motif', 'burung', 'cendrawasih', 'yang', 'elegan', 'dengan', 'kombinasi', 'pola', 'bunga', 'dan', 'warna', 'cerah', 'melambangkan', 'keindahan', 'dan', 'kemewahan', 'batik', 'ini', 'mencerminkan', 'kebanggaan', 'budaya', 'papua']","['batik', 'cendrawasih', 'menampilkan', 'motif', 'burung', 'cendrawasih', 'elegan', 'kombinasi', 'pola', 'bunga', 'warna', 'cerah', 'melambangkan', 'keindahan', 'kemewahan', 'batik', 'mencerminkan', 'kebanggaan', 'budaya', 'papua']","['batik', 'cendrawasih', 'menampilkan', 'motif', 'burung', 'cendrawasih', 'elegan', 'kombinasi', 'pola', 'bunga', 'warna', 'cerah', 'melambangkan', 'keindahan', 'kemewahan', 'batik', 'mencerminkan', 'kebanggaan', 'budaya', 'papua']",batik cendrawasih menampilkan motif burung cendrawasih elegan kombinasi pola bunga warna cerah melambangkan keindahan kemewahan batik mencerminkan kebanggaan budaya papua
Batik Ceplok,"Batik Ceplok memiliki pola geometris berulang seperti lingkaran dan bunga kecil dengan warna klasik. Melambangkan keseimbangan dan harmoni, batik ini merupakan warisan budaya dari Jawa Tengah.",batik-ceplok,batik-ceplok.jpg,"batik ceplok memiliki pola geometris berulang seperti lingkaran dan bunga kecil dengan warna klasik. melambangkan keseimbangan dan harmoni, batik ini merupakan warisan budaya dari jawa tengah.",batik ceplok memiliki pola geometris berulang seperti lingkaran dan bunga kecil dengan warna klasik melambangkan keseimbangan dan harmoni batik ini merupakan warisan budaya dari jawa tengah,"['batik', 'ceplok', 'memiliki', 'pola', 'geometris', 'berulang', 'seperti', 'lingkaran', 'dan', 'bunga', 'kecil', 'dengan', 'warna', 'klasik', 'melambangkan', 'keseimbangan', 'dan', 'harmoni', 'batik', 'ini', 'merupakan', 'warisan', 'budaya', 'dari', 'jawa', 'tengah']","['batik', 'ceplok', 'memiliki', 'pola', 'geometris', 'berulang', 'lingkaran', 'bunga', 'warna', 'klasik', 'melambangkan', 'keseimbangan', 'harmoni', 'batik', 'warisan', 'budaya', 'jawa']","['batik', 'ceplok', 'memiliki', 'pola', 'geometris', 'berulang', 'lingkaran', 'bunga', 'warna', 'klasik', 'melambangkan', 'keseimbangan', 'harmoni', 'batik', 'warisan', 'budaya', 'jawa']",batik ceplok memiliki pola geometris berulang lingkaran bunga warna klasik melambangkan keseimbangan harmoni batik warisan budaya jawa
Batik Ciamis,"Batik Ciamis memiliki motif sederhana dengan pola bunga kecil atau garis melengkung, didominasi warna pastel seperti cokelat muda. Melambangkan kesederhanaan dan keharmonisan, batik ini berasal dari Ciamis, Jawa Barat.",batik-ciamis,batik-ciamis.jpg,"batik ciamis memiliki motif sederhana dengan pola bunga kecil atau garis melengkung, didominasi warna pastel seperti cokelat muda. melambangkan kesederhanaan dan keharmonisan, batik ini berasal dari ciamis, jawa barat.",batik ciamis memiliki motif sederhana dengan pola bunga kecil atau garis melengkung didominasi warna pastel seperti cokelat muda melambangkan kesederhanaan dan keharmonisan batik ini berasal dari ciamis jawa barat,"['batik', 'ciamis', 'memiliki', 'motif', 'sederhana', 'dengan', 'pola', 'bunga', 'kecil', 'atau', 'garis', 'melengkung', 'didominasi', 'warna', 'pastel', 'seperti', 'cokelat', 'muda', 'melambangkan', 'kesederhanaan', 'dan', 'keharmonisan', 'batik', 'ini', 'berasal', 'dari', 'ciamis', 'jawa', 'barat']","['batik', 'ciamis', 'memiliki', 'motif', 'sederhana', 'pola', 'bunga', 'garis', 'melengkung', 'didominasi', 'warna', 'pastel', 'cokelat', 'muda', 'melambangkan', 'kesederhanaan', 'keharmonisan', 'batik', 'berasal', 'ciamis', 'jawa', 'barat']","['batik', 'ciamis', 'memiliki', 'motif', 'sederhana', 'pola', 'bunga', 'gari', 'melengkung', 'didominasi', 'warna', 'pastel', 'cokelat', 'muda', 'melambangkan', 'kesederhanaan', 'keharmonisan', 'batik', 'berasal', 'ciamis', 'jawa', 'barat']",batik ciamis memiliki motif sederhana pola bunga gari melengkung didominasi warna pastel cokelat muda melambangkan kesederhanaan keharmonisan batik berasal ciamis jawa barat
Batik Garutan,"Batik Garutan memiliki motif bunga, daun, atau burung dengan warna cerah seperti merah dan hijau. Melambangkan keceriaan dan keindahan alam, batik ini merupakan kekayaan budaya dari Garut, Jawa Barat.",batik-garutan,batik-garutan.jpg,"batik garutan memiliki motif bunga, daun, atau burung dengan warna cerah seperti merah dan hijau. melambangkan keceriaan dan keindahan alam, batik ini merupakan kekayaan budaya dari garut, jawa barat.",batik garutan memiliki motif bunga daun atau burung dengan warna cerah seperti merah dan hijau melambangkan keceriaan dan keindahan alam batik ini merupakan kekayaan budaya dari garut jawa barat,"['batik', 'garutan', 'memiliki', 'motif', 'bunga', 'daun', 'atau', 'burung', 'dengan', 'warna', 'cerah', 'seperti', 'merah', 'dan', 'hijau', 'melambangkan', 'keceriaan', 'dan', 'keindahan', 'alam', 'batik', 'ini', 'merupakan', 'kekayaan', 'budaya', 'dari', 'garut', 'jawa', 'barat']","['batik', 'garutan', 'memiliki', 'motif', 'bunga', 'daun', 'burung', 'warna', 'cerah', 'merah', 'hijau', 'melambangkan', 'keceriaan', 'keindahan', 'alam', 'batik', 'kekayaan', 'budaya', 'garut', 'jawa', 'barat']","['batik', 'garutan', 'memiliki', 'motif', 'bunga', 'daun', 'burung', 'warna', 'cerah', 'merah', 'hijau', 'melambangkan', 'keceriaan', 'keindahan', 'alam', 'batik', 'kekayaan', 'budaya', 'garut', 'jawa', 'barat']",batik garutan memiliki motif bunga daun burung warna cerah merah hijau melambangkan keceriaan keindahan alam batik kekayaan budaya garut jawa barat
Batik Gentongan,"Batik Gentongan memiliki motif bunga besar dengan warna mencolok seperti merah dan biru. Melambangkan keberanian dan keunikan budaya, batik ini khas dari Madura, Jawa Timur.",batik-gentongan,batik-gentongan.jpg,"batik gentongan memiliki motif bunga besar dengan warna mencolok seperti merah dan biru. melambangkan keberanian dan keunikan budaya, batik ini khas dari madura, jawa timur.",batik gentongan memiliki motif bunga besar dengan warna mencolok seperti merah dan biru melambangkan keberanian dan keunikan budaya batik ini khas dari madura jawa timur,"['batik', 'gentongan', 'memiliki', 'motif', 'bunga', 'besar', 'dengan', 'warna', 'mencolok', 'seperti', 'merah', 'dan', 'biru', 'melambangkan', 'keberanian', 'dan', 'keunikan', 'budaya', 'batik', 'ini', 'khas', 'dari', 'madura', 'jawa', 'timur']","['batik', 'gentongan', 'memiliki', 'motif', 'bunga', 'warna', 'mencolok', 'merah', 'biru', 'melambangkan', 'keberanian', 'keunikan', 'budaya', 'batik', 'khas', 'madura', 'jawa', 'timur']","['batik', 'gentongan', 'memiliki', 'motif', 'bunga', 'warna', 'mencolok', 'merah', 'biru', 'melambangkan', 'keberanian', 'keunikan', 'budaya', 'batik', 'khas', 'madura', 'jawa', 'timur']",batik gentongan memiliki motif bunga warna mencolok merah biru melambangkan keberanian keunikan budaya batik khas madura jawa timur
Batik Kawung,"Batik Kawung memiliki motif lingkaran geometris menyerupai irisan kolang-kaling, disusun secara simetris. Melambangkan kesucian dan keseimbangan, batik ini merupakan warisan budaya dari Jawa Tengah.",batik-kawung,batik-kawung.jpg,"batik kawung memiliki motif lingkaran geometris menyerupai irisan kolang-kaling, disusun secara simetris. melambangkan kesucian dan keseimbangan, batik ini merupakan warisan budaya dari jawa tengah.",batik kawung memiliki motif lingkaran geometris menyerupai irisan kolangkaling disusun secara simetris melambangkan kesucian dan keseimbangan batik ini merupakan warisan budaya dari jawa tengah,"['batik', 'kawung', 'memiliki', 'motif', 'lingkaran', 'geometris', 'menyerupai', 'irisan', 'kolangkaling', 'disusun', 'secara', 'simetris', 'melambangkan', 'kesucian', 'dan', 'keseimbangan', 'batik', 'ini', 'merupakan', 'warisan', 'budaya', 'dari', 'jawa', 'tengah']","['batik', 'kawung', 'memiliki', 'motif', 'lingkaran', 'geometris', 'menyerupai', 'irisan', 'kolangkaling', 'disusun', 'simetris', 'melambangkan', 'kesucian', 'keseimbangan', 'batik', 'warisan', 'budaya', 'jawa']","['batik', 'kawung', 'memiliki', 'motif', 'lingkaran', 'geometris', 'menyerupai', 'irisan', 'kolangkaling', 'disusun', 'simetris', 'melambangkan', 'kesucian', 'keseimbangan', 'batik', 'warisan', 'budaya', 'jawa']",batik kawung memiliki motif lingkaran geometris menyerupai irisan kolangkaling disusun simetris melambangkan kesucian keseimbangan batik warisan budaya jawa
